,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,29,management,single,tertiary,no,0,yes,no,cellular,5,may,363,1,194,0,failure,no
48,54,blue-collar,married,secondary,no,1291,yes,no,cellular,5,may,266,1,194,0,failure,no
49,48,management,divorced,tertiary,no,-244,yes,no,cellular,5,may,253,1,194,0,failure,no
50,32,management,married,tertiary,no,0,yes,no,cellular,5,may,179,1,194,0,failure,no
51,42,admin.,single,secondary,no,-76,yes,no,cellular,5,may,787,1,194,0,failure,no
52,24,technician,single,secondary,no,-103,yes,yes,cellular,5,may,145,1,194,0,failure,no
53,38,entrepreneur,single,tertiary,no,243,no,yes,cellular,5,may,174,1,194,0,failure,no
54,38,management,single,tertiary,no,424,yes,no,cellular,5,may,104,1,194,0,failure,no
55,47,blue-collar,married,secondary,no,306,yes,no,cellular,5,may,13,1,194,0,failure,no
56,40,blue-collar,single,secondary,no,24,yes,no,cellular,5,may,185,1,194,0,failure,no
57,32,admin.,married,tertiary,no,0,yes,no,cellular,5,may,138,1,194,0,failure,no
58,53,technician,divorced,secondary,no,989,yes,no,cellular,5,may,812,1,194,0,failure,no
59,57,blue-collar,married,primary,no,249,yes,no,cellular,5,may,164,1,194,0,failure,no
60,33,services,married,secondary,no,790,yes,no,cellular,5,may,391,1,194,0,failure,no
61,49,blue-collar,married,secondary,no,154,yes,no,cellular,5,may,357,1,194,0,failure,no
62,51,management,married,tertiary,no,6530,yes,no,cellular,5,may,91,1,194,0,failure,no
63,60,retired,married,tertiary,no,100,no,no,cellular,5,may,528,1,194,0,failure,no
64,59,management,divorced,tertiary,no,59,yes,no,cellular,5,may,273,1,194,0,failure,no
65,55,technician,married,secondary,no,1205,yes,no,cellular,5,may,158,2,194,0,failure,no
66,57,blue-collar,married,secondary,no,5935,yes,yes,cellular,5,may,258,1,194,0,failure,no
67,31,services,married,secondary,no,25,yes,yes,cellular,5,may,172,1,194,0,failure,no
68,54,management,married,secondary,no,282,yes,yes,cellular,5,may,154,1,194,0,failure,no
69,55,blue-collar,married,primary,no,23,yes,no,cellular,5,may,291,1,194,0,failure,no
70,43,technician,married,secondary,no,1937,yes,no,cellular,5,may,181,1,194,0,failure,no
71,53,technician,married,secondary,no,384,yes,no,cellular,5,may,176,1,194,0,failure,no
72,44,blue-collar,married,secondary,no,582,no,yes,cellular,5,may,211,1,194,0,failure,no
73,55,services,divorced,secondary,no,91,no,no,cellular,5,may,349,1,194,0,failure,no
74,49,services,divorced,secondary,no,0,yes,yes,cellular,5,may,272,1,194,0,failure,no
75,55,services,divorced,secondary,yes,1,yes,no,cellular,5,may,208,1,194,0,failure,no
76,45,admin.,single,secondary,no,206,yes,no,cellular,5,may,193,1,194,0,failure,no
77,47,services,divorced,secondary,no,164,no,no,cellular,5,may,212,1,194,0,failure,no
78,42,technician,single,secondary,no,690,yes,no,cellular,5,may,20,1,194,0,failure,no
79,59,admin.,married,secondary,no,2343,yes,no,cellular,5,may,1042,1,194,0,failure,yes
80,46,self-employed,married,tertiary,no,137,yes,yes,cellular,5,may,246,1,194,0,failure,no
81,51,blue-collar,married,primary,no,173,yes,no,cellular,5,may,529,2,194,0,failure,no
82,46,management,divorced,secondary,no,16,yes,yes,cellular,5,may,188,2,194,0,failure,no
83,57,retired,married,secondary,no,486,yes,no,cellular,5,may,180,2,194,0,failure,no
84,42,management,single,secondary,no,50,no,no,cellular,5,may,48,1,194,0,failure,no
85,30,technician,married,secondary,no,152,yes,yes,cellular,5,may,213,2,194,0,failure,no
86,60,admin.,married,secondary,no,290,yes,no,cellular,5,may,583,1,194,0,failure,no
87,60,blue-collar,married,secondary,no,54,yes,no,cellular,5,may,221,1,194,0,failure,no
88,57,entrepreneur,divorced,secondary,no,-37,no,no,cellular,5,may,173,1,194,0,failure,no
89,36,management,married,tertiary,no,101,yes,yes,cellular,5,may,426,1,194,0,failure,no
90,55,blue-collar,married,secondary,no,383,no,no,cellular,5,may,287,1,194,0,failure,no
91,60,retired,married,tertiary,no,81,yes,no,cellular,5,may,101,1,194,0,failure,no
92,39,technician,married,secondary,no,0,yes,no,cellular,5,may,203,1,194,0,failure,no
93,46,management,married,tertiary,no,229,yes,no,cellular,5,may,197,1,194,0,failure,no
94,44,blue-collar,married,secondary,no,-674,yes,no,cellular,5,may,257,1,194,0,failure,no
95,53,blue-collar,married,primary,no,90,no,no,cellular,5,may,124,1,194,0,failure,no
96,52,blue-collar,married,primary,no,128,yes,no,cellular,5,may,229,1,194,0,failure,no
97,59,blue-collar,married,primary,no,179,yes,no,cellular,5,may,55,3,194,0,failure,no
98,27,technician,single,tertiary,no,0,yes,no,cellular,5,may,400,1,194,0,failure,no
99,44,blue-collar,married,secondary,no,54,yes,no,cellular,5,may,197,1,194,0,failure,no
100,47,technician,married,tertiary,no,151,yes,no,cellular,5,may,190,1,194,0,failure,no
101,34,admin.,married,secondary,no,61,no,yes,cellular,5,may,21,1,194,0,failure,no
102,59,retired,single,secondary,no,30,yes,no,cellular,5,may,514,1,194,0,failure,no
103,45,management,married,tertiary,no,523,yes,no,cellular,5,may,849,2,194,0,failure,no
104,29,services,divorced,secondary,no,31,yes,no,cellular,5,may,194,1,194,0,failure,no
105,46,technician,divorced,secondary,no,79,no,no,cellular,5,may,144,1,194,0,failure,no
106,56,self-employed,married,primary,no,-34,yes,yes,cellular,5,may,212,2,194,0,failure,no
107,36,blue-collar,married,primary,no,448,yes,no,cellular,5,may,286,1,194,0,failure,no
108,59,retired,divorced,primary,no,81,yes,no,cellular,5,may,107,1,194,0,failure,no
109,44,blue-collar,married,secondary,no,144,yes,no,cellular,5,may,247,2,194,0,failure,no
110,41,admin.,married,secondary,no,351,yes,no,cellular,5,may,518,1,194,0,failure,no
111,33,management,single,tertiary,no,-67,yes,no,cellular,5,may,364,1,194,0,failure,no
112,59,management,divorced,tertiary,no,262,no,no,cellular,5,may,178,1,194,0,failure,no
113,57,technician,married,primary,no,0,no,no,cellular,5,may,98,1,194,0,failure,no
114,56,technician,divorced,secondary,no,56,yes,no,cellular,5,may,439,1,194,0,failure,no
115,51,blue-collar,married,secondary,no,26,yes,no,cellular,5,may,79,1,194,0,failure,no
116,34,admin.,married,secondary,no,3,yes,no,cellular,5,may,120,3,194,0,failure,no
117,43,services,married,secondary,no,41,yes,yes,cellular,5,may,127,2,194,0,failure,no
118,52,technician,married,tertiary,no,7,no,yes,cellular,5,may,175,1,194,0,failure,no
119,33,technician,single,secondary,no,105,yes,no,cellular,5,may,262,2,194,0,failure,no
120,29,admin.,single,secondary,no,818,yes,yes,cellular,5,may,61,1,194,0,failure,no
121,34,services,married,secondary,no,-16,yes,yes,cellular,5,may,78,1,194,0,failure,no
122,31,blue-collar,married,secondary,no,0,yes,no,cellular,5,may,143,1,194,0,failure,no
123,55,services,married,secondary,no,2476,yes,no,cellular,5,may,579,1,194,0,failure,yes
124,55,management,married,secondary,no,1185,no,no,cellular,5,may,677,1,194,0,failure,no
125,32,admin.,single,secondary,no,217,yes,no,cellular,5,may,345,1,194,0,failure,no
126,38,technician,single,secondary,no,1685,yes,no,cellular,5,may,185,1,194,0,failure,no
127,55,admin.,single,secondary,no,802,yes,yes,cellular,5,may,100,2,194,0,failure,no
128,28,unemployed,single,tertiary,no,0,yes,no,cellular,5,may,125,2,194,0,failure,no
129,23,blue-collar,married,secondary,no,94,yes,no,cellular,5,may,193,1,194,0,failure,no
130,32,technician,single,secondary,no,0,yes,no,cellular,5,may,136,1,194,0,failure,no
131,43,services,single,secondary,no,0,no,no,cellular,5,may,73,1,194,0,failure,no
132,32,blue-collar,married,secondary,no,517,yes,no,cellular,5,may,528,1,194,0,failure,no
133,46,blue-collar,married,secondary,no,265,yes,no,cellular,5,may,541,1,194,0,failure,no
134,53,housemaid,divorced,primary,no,947,yes,no,cellular,5,may,163,1,194,0,failure,no
135,34,self-employed,single,secondary,no,3,yes,no,cellular,5,may,301,1,194,0,failure,no
136,57,unemployed,married,tertiary,no,42,no,no,cellular,5,may,46,1,194,0,failure,no
137,37,blue-collar,married,secondary,no,37,yes,no,cellular,5,may,204,1,194,0,failure,no
138,59,blue-collar,married,secondary,no,57,yes,no,cellular,5,may,98,1,194,0,failure,no
139,33,services,married,secondary,no,22,yes,no,cellular,5,may,71,1,194,0,failure,no
140,56,blue-collar,divorced,primary,no,8,yes,no,cellular,5,may,157,2,194,0,failure,no
141,48,unemployed,married,secondary,no,293,yes,no,cellular,5,may,243,1,194,0,failure,no
142,43,services,married,primary,no,3,yes,no,cellular,5,may,186,2,194,0,failure,no
143,54,blue-collar,married,primary,no,348,yes,no,cellular,5,may,579,2,194,0,failure,no
144,51,blue-collar,married,secondary,no,-19,yes,no,cellular,5,may,163,2,194,0,failure,no
145,26,student,single,secondary,no,0,yes,no,cellular,5,may,610,2,194,0,failure,no
146,39,management,married,secondary,no,18,yes,no,cellular,5,may,85,1,194,0,failure,no
147,50,technician,married,primary,no,139,no,no,cellular,5,may,114,2,194,0,failure,no
148,41,services,married,secondary,no,0,yes,no,cellular,5,may,114,2,194,0,failure,no
149,51,blue-collar,married,secondary,no,1883,yes,no,cellular,5,may,57,1,194,0,failure,no
150,60,retired,divorced,secondary,no,216,yes,no,cellular,5,may,238,1,194,0,failure,no
151,52,blue-collar,married,secondary,no,782,yes,no,cellular,5,may,93,3,194,0,failure,no
152,48,blue-collar,married,secondary,no,904,yes,no,cellular,5,may,128,2,194,0,failure,no
153,48,services,married,secondary,no,1705,yes,no,cellular,5,may,107,1,194,0,failure,no
154,39,technician,single,tertiary,no,47,yes,no,cellular,5,may,181,1,194,0,failure,no
155,47,services,single,secondary,no,176,yes,no,cellular,5,may,303,2,194,0,failure,no
156,40,blue-collar,married,secondary,no,1225,yes,no,cellular,5,may,558,5,194,0,failure,no
157,45,technician,married,secondary,no,86,yes,no,cellular,5,may,270,1,194,0,failure,no
158,26,admin.,single,secondary,no,82,yes,no,cellular,5,may,228,1,194,0,failure,no
159,52,management,married,tertiary,no,271,yes,no,cellular,5,may,99,1,194,0,failure,no
160,54,technician,married,secondary,no,1378,yes,no,cellular,5,may,240,1,194,0,failure,no
161,54,admin.,married,tertiary,no,184,no,no,cellular,5,may,673,2,194,0,failure,yes
162,50,blue-collar,married,primary,no,0,no,no,cellular,5,may,233,3,194,0,failure,no
163,35,blue-collar,married,secondary,no,0,yes,no,cellular,5,may,1056,1,194,0,failure,no
164,44,services,married,secondary,no,1357,yes,yes,cellular,5,may,250,1,194,0,failure,no
165,53,entrepreneur,married,secondary,no,19,yes,no,cellular,5,may,252,1,194,0,failure,no
166,35,retired,single,primary,no,434,no,no,cellular,5,may,138,1,194,0,failure,no
167,60,admin.,divorced,secondary,no,92,yes,no,cellular,5,may,130,1,194,0,failure,no
168,53,admin.,divorced,secondary,no,1151,yes,no,cellular,5,may,412,1,194,0,failure,no
169,48,unemployed,married,secondary,no,41,yes,no,cellular,5,may,179,2,194,0,failure,no
170,34,technician,married,secondary,no,51,yes,no,cellular,5,may,19,2,194,0,failure,no
171,54,services,married,secondary,no,214,yes,no,cellular,5,may,458,2,194,0,failure,no
172,51,management,married,secondary,no,1161,yes,no,cellular,5,may,717,1,194,0,failure,no
173,31,services,married,tertiary,no,37,yes,no,cellular,5,may,313,1,194,0,failure,no
174,35,technician,divorced,secondary,no,787,yes,no,cellular,5,may,683,2,194,0,failure,no
175,35,services,married,secondary,no,59,yes,no,cellular,5,may,1077,1,194,0,failure,no
176,38,technician,married,secondary,no,253,yes,no,cellular,5,may,416,1,194,0,failure,no
177,36,admin.,married,tertiary,no,211,yes,no,cellular,5,may,146,2,194,0,failure,no
178,58,retired,married,primary,no,235,yes,no,cellular,5,may,167,1,194,0,failure,no
179,40,services,divorced,secondary,no,4384,yes,no,cellular,5,may,315,1,194,0,failure,no
180,54,management,married,secondary,no,4080,no,no,cellular,5,may,140,1,194,0,failure,no
181,34,blue-collar,single,secondary,no,53,yes,yes,cellular,5,may,346,1,194,0,failure,no
182,31,management,single,tertiary,no,0,yes,no,cellular,5,may,562,1,194,0,failure,no
183,51,retired,married,secondary,no,2127,yes,no,cellular,5,may,172,1,194,0,failure,no
184,33,management,married,tertiary,no,377,yes,no,cellular,5,may,217,1,194,0,failure,no
185,55,management,married,tertiary,no,73,yes,no,cellular,5,may,142,2,194,0,failure,no
186,42,admin.,married,secondary,no,445,yes,no,cellular,5,may,67,1,194,0,failure,no
187,34,blue-collar,married,secondary,no,243,yes,no,cellular,5,may,291,1,194,0,failure,no
188,33,blue-collar,single,secondary,no,307,yes,no,cellular,5,may,309,2,194,0,failure,no
189,38,services,married,secondary,no,155,yes,no,cellular,5,may,248,1,194,0,failure,no
190,50,technician,divorced,tertiary,no,173,no,yes,cellular,5,may,98,1,194,0,failure,no
191,43,management,married,tertiary,no,400,yes,no,cellular,5,may,256,1,194,0,failure,no
192,61,blue-collar,divorced,primary,no,1428,yes,no,cellular,5,may,82,2,194,0,failure,no
193,47,admin.,married,secondary,no,219,yes,no,cellular,5,may,577,1,194,0,failure,no
194,48,self-employed,married,tertiary,no,7,yes,no,cellular,5,may,286,1,194,0,failure,no
195,44,blue-collar,married,secondary,no,575,yes,no,cellular,5,may,477,1,194,0,failure,no
196,35,student,single,secondary,no,298,yes,no,cellular,5,may,611,2,194,0,failure,no
197,35,services,married,secondary,no,0,yes,no,cellular,5,may,471,1,194,0,failure,no
198,50,services,married,secondary,no,5699,yes,no,cellular,5,may,381,2,194,0,failure,no
199,41,management,married,tertiary,no,176,yes,yes,cellular,5,may,42,1,194,0,failure,no
200,41,management,married,tertiary,no,517,yes,no,cellular,5,may,251,1,194,0,failure,no
201,39,services,single,secondary,no,257,yes,no,cellular,5,may,408,1,194,0,failure,no
202,42,retired,married,secondary,no,56,yes,no,cellular,5,may,215,1,194,0,failure,no
203,38,blue-collar,married,secondary,no,-390,yes,no,cellular,5,may,287,1,194,0,failure,no
204,53,retired,married,secondary,no,330,yes,no,cellular,5,may,216,2,194,0,failure,no
205,59,housemaid,divorced,primary,no,195,no,no,cellular,5,may,366,2,194,0,failure,no
206,36,services,married,secondary,no,301,yes,no,cellular,5,may,210,1,194,0,failure,no
207,54,blue-collar,married,primary,no,-41,yes,no,cellular,5,may,288,1,194,0,failure,no
208,40,technician,married,tertiary,no,483,yes,no,cellular,5,may,168,1,194,0,failure,no
209,47,blue-collar,married,secondary,no,28,no,no,cellular,5,may,338,2,194,0,failure,no
210,53,unemployed,married,secondary,no,13,no,no,cellular,5,may,410,3,194,0,failure,no
211,46,housemaid,married,primary,no,965,no,no,cellular,5,may,177,1,194,0,failure,no
212,39,management,married,tertiary,no,378,yes,yes,cellular,5,may,127,2,194,0,failure,no
213,40,unemployed,married,secondary,no,219,yes,no,cellular,5,may,357,1,194,0,failure,no
214,28,blue-collar,married,primary,no,324,yes,no,cellular,5,may,175,1,194,0,failure,no
215,35,entrepreneur,divorced,secondary,no,-69,yes,no,cellular,5,may,300,1,194,0,failure,no
216,55,retired,married,secondary,no,0,no,yes,cellular,5,may,136,1,194,0,failure,no
217,48,blue-collar,married,primary,no,278,yes,no,cellular,5,may,125,2,194,0,failure,no
218,58,management,married,secondary,no,1065,yes,no,cellular,5,may,213,3,194,0,failure,no
219,33,management,single,tertiary,no,34,yes,no,cellular,5,may,27,1,194,0,failure,no
220,36,blue-collar,married,secondary,no,1033,no,no,cellular,5,may,238,2,194,0,failure,no
221,53,services,divorced,secondary,no,1467,yes,no,cellular,5,may,124,1,194,0,failure,no
222,47,blue-collar,married,primary,no,-12,yes,no,cellular,5,may,18,1,194,0,failure,no
223,31,services,married,secondary,no,388,yes,no,cellular,5,may,730,2,194,0,failure,no
224,57,entrepreneur,married,secondary,no,294,yes,no,cellular,5,may,746,2,194,0,failure,no
225,53,blue-collar,married,secondary,no,1827,no,no,cellular,5,may,121,1,194,0,failure,no
226,55,blue-collar,married,primary,no,627,yes,no,cellular,5,may,247,1,194,0,failure,no
227,45,blue-collar,married,primary,no,25,yes,no,cellular,5,may,40,1,194,0,failure,no
228,53,admin.,divorced,secondary,no,315,yes,no,cellular,5,may,181,2,194,0,failure,no
229,37,blue-collar,married,primary,no,0,yes,no,cellular,5,may,79,1,194,0,failure,no
230,44,admin.,divorced,secondary,no,66,yes,no,cellular,5,may,206,1,194,0,failure,no
231,49,blue-collar,divorced,primary,no,-9,yes,yes,cellular,5,may,389,1,194,0,failure,no
232,46,technician,married,secondary,no,349,yes,yes,cellular,5,may,127,1,194,0,failure,no
233,43,entrepreneur,married,secondary,no,100,yes,no,cellular,5,may,702,1,194,0,failure,no
234,38,admin.,married,secondary,no,0,no,no,cellular,5,may,151,1,194,0,failure,no
235,43,technician,married,secondary,no,434,yes,no,cellular,5,may,117,1,194,0,failure,no
236,49,management,married,tertiary,no,3237,yes,no,cellular,5,may,232,3,194,0,failure,no
237,42,management,married,secondary,no,275,no,no,cellular,5,may,408,2,194,0,failure,no
238,22,blue-collar,single,secondary,no,0,yes,no,cellular,5,may,179,2,194,0,failure,no
239,40,management,married,tertiary,no,207,yes,no,cellular,5,may,39,1,194,0,failure,no
240,39,blue-collar,married,secondary,no,483,yes,no,cellular,5,may,282,1,194,0,failure,no
241,51,services,married,secondary,no,2248,yes,no,cellular,5,may,714,2,194,0,failure,no
242,49,admin.,married,secondary,no,428,yes,no,cellular,5,may,50,1,194,0,failure,no
243,53,blue-collar,married,secondary,no,0,yes,yes,cellular,5,may,181,1,194,0,failure,no
244,34,services,single,secondary,no,0,yes,no,cellular,5,may,142,1,194,0,failure,no
245,33,technician,divorced,secondary,no,140,yes,no,cellular,5,may,227,1,194,0,failure,no
246,50,management,single,tertiary,no,297,yes,no,cellular,5,may,119,1,194,0,failure,no
247,39,blue-collar,married,primary,no,279,yes,no,cellular,5,may,361,1,194,0,failure,no
248,59,entrepreneur,divorced,secondary,no,901,yes,no,cellular,5,may,73,3,194,0,failure,no
249,30,technician,single,secondary,no,2573,yes,no,cellular,5,may,67,2,194,0,failure,no
250,36,services,married,secondary,no,143,yes,yes,cellular,5,may,350,1,194,0,failure,no
251,40,blue-collar,married,secondary,no,475,yes,no,cellular,5,may,332,2,194,0,failure,no
252,53,blue-collar,married,secondary,no,70,yes,no,cellular,5,may,611,2,194,0,failure,no
253,34,management,single,tertiary,no,318,yes,no,cellular,5,may,113,2,194,0,failure,no
254,37,technician,married,secondary,no,275,yes,no,cellular,5,may,132,1,194,0,failure,no
255,42,management,divorced,tertiary,no,742,yes,no,cellular,5,may,58,3,194,0,failure,no
256,41,entrepreneur,married,primary,no,236,yes,no,cellular,5,may,151,1,194,0,failure,no
257,30,student,single,tertiary,no,25,yes,no,cellular,5,may,89,2,194,0,failure,no
258,37,management,single,tertiary,no,600,yes,no,cellular,5,may,152,1,194,0,failure,no
259,39,admin.,divorced,secondary,no,-349,yes,no,cellular,5,may,611,2,194,0,failure,no
260,41,blue-collar,married,primary,no,183,yes,yes,cellular,5,may,110,2,194,0,failure,no
261,40,blue-collar,married,primary,no,0,yes,no,cellular,5,may,463,1,194,0,failure,no
262,42,management,single,tertiary,no,0,yes,yes,cellular,5,may,562,2,194,0,failure,yes
263,40,blue-collar,divorced,primary,no,0,yes,no,cellular,5,may,962,1,194,0,failure,no
264,57,technician,married,secondary,no,1078,yes,no,cellular,5,may,10,4,194,0,failure,no
265,56,entrepreneur,divorced,secondary,no,155,no,no,cellular,5,may,118,3,194,0,failure,no
266,37,admin.,married,secondary,no,190,yes,no,cellular,5,may,92,2,194,0,failure,no
267,59,retired,married,secondary,no,319,yes,no,cellular,5,may,143,3,194,0,failure,no
268,39,services,divorced,secondary,no,-185,yes,no,cellular,5,may,189,3,194,0,failure,no
269,49,services,married,secondary,no,47,no,no,cellular,5,may,234,2,194,0,failure,no
270,38,services,single,secondary,no,570,yes,no,cellular,5,may,75,2,194,0,failure,no
271,36,self-employed,married,tertiary,no,19,no,no,cellular,5,may,189,2,194,0,failure,no
272,50,blue-collar,married,primary,no,61,yes,no,cellular,5,may,621,3,194,0,failure,no
273,41,admin.,married,secondary,no,-62,yes,yes,cellular,5,may,55,2,194,0,failure,no
274,54,technician,married,tertiary,no,258,no,no,cellular,5,may,310,4,194,0,failure,no
275,58,blue-collar,married,primary,no,76,yes,no,cellular,5,may,156,2,194,0,failure,no
276,30,blue-collar,single,secondary,no,0,yes,no,cellular,5,may,5,2,194,0,failure,no
277,33,admin.,single,secondary,no,352,yes,no,cellular,5,may,225,2,194,0,failure,no
278,47,admin.,married,secondary,no,368,yes,no,cellular,5,may,125,2,194,0,failure,no
279,50,technician,single,tertiary,no,339,yes,no,cellular,5,may,2,3,194,0,failure,no
280,32,blue-collar,married,secondary,no,1331,yes,no,cellular,5,may,286,2,194,0,failure,no
281,40,self-employed,married,secondary,no,672,yes,no,cellular,5,may,164,2,194,0,failure,no
282,37,management,married,tertiary,no,58,yes,no,cellular,5,may,98,2,194,0,failure,no
283,54,technician,single,secondary,no,447,yes,no,cellular,5,may,742,2,194,0,failure,no
284,24,student,single,secondary,no,423,yes,no,cellular,5,may,226,3,194,0,failure,no
285,54,management,married,tertiary,no,0,no,no,cellular,5,may,120,2,194,0,failure,no
286,34,technician,married,secondary,no,19,yes,no,cellular,5,may,362,4,194,0,failure,no
287,56,technician,divorced,primary,no,13,yes,no,cellular,5,may,357,2,194,0,failure,no
288,31,blue-collar,single,secondary,no,3,yes,no,cellular,5,may,200,2,194,0,failure,no
289,24,student,single,secondary,no,82,yes,no,cellular,5,may,204,2,194,0,failure,no
290,42,blue-collar,divorced,primary,no,28,yes,no,cellular,5,may,126,3,194,0,failure,no
291,57,technician,married,secondary,no,792,yes,no,cellular,5,may,65,2,194,0,failure,no
292,42,blue-collar,married,secondary,no,408,yes,no,cellular,5,may,107,2,194,0,failure,no
293,51,admin.,married,secondary,no,531,yes,no,cellular,5,may,267,2,194,0,failure,no
294,57,retired,married,secondary,no,211,yes,no,cellular,5,may,248,2,194,0,failure,no
295,36,services,single,secondary,no,62,yes,no,cellular,5,may,215,2,194,0,failure,no
296,53,services,married,secondary,no,257,yes,no,cellular,5,may,209,2,194,0,failure,no
297,50,technician,married,secondary,no,1234,yes,no,cellular,5,may,205,2,194,0,failure,no
298,54,management,married,tertiary,no,313,yes,no,cellular,5,may,83,2,194,0,failure,no
299,55,blue-collar,married,secondary,no,89,yes,no,cellular,5,may,106,3,194,0,failure,no
300,44,blue-collar,married,secondary,no,129,yes,yes,cellular,5,may,189,2,194,0,failure,no
301,43,management,married,secondary,no,0,yes,no,cellular,5,may,105,2,194,0,failure,no
302,56,admin.,married,secondary,no,353,yes,no,cellular,5,may,106,2,194,0,failure,no
303,54,technician,married,secondary,no,851,yes,no,cellular,5,may,108,2,194,0,failure,no
304,55,services,divorced,primary,no,96,yes,yes,cellular,5,may,311,2,194,0,failure,no
305,37,services,divorced,secondary,no,398,yes,yes,cellular,5,may,214,2,194,0,failure,no
306,33,admin.,single,tertiary,no,193,no,no,cellular,5,may,132,2,194,0,failure,no
307,46,admin.,married,secondary,no,-358,yes,no,cellular,5,may,358,2,194,0,failure,no
308,36,blue-collar,married,secondary,no,539,yes,yes,cellular,5,may,453,2,194,0,failure,no
309,51,technician,single,secondary,no,0,yes,no,cellular,5,may,364,2,194,0,failure,no
310,40,retired,single,primary,no,0,no,no,cellular,5,may,136,2,194,0,failure,no
311,42,blue-collar,married,secondary,no,490,yes,no,cellular,5,may,386,2,194,0,failure,no
312,51,blue-collar,married,secondary,no,0,yes,no,cellular,5,may,173,2,194,0,failure,no
