,age,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y,admin.,blue-collar,entrepreneur,housemaid,management,retired,self-employed,services,student,technician,unemployed,divorced,married,single,failure,other,success
24,40,1,0,0,1,1,0,5,5,181,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
25,44,2,0,-372,1,0,0,5,5,172,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,39,3,0,255,1,0,0,5,5,296,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
27,52,2,0,113,1,1,0,5,5,127,1,194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
28,46,2,0,-246,1,0,0,5,5,255,2,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
29,36,2,0,265,1,1,0,5,5,348,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
30,57,2,0,839,0,1,0,5,5,225,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
31,49,3,0,378,1,0,0,5,5,230,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
32,60,2,0,39,1,1,0,5,5,208,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
33,59,2,0,0,1,0,0,5,5,226,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,51,3,0,10635,1,0,0,5,5,336,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
35,57,2,0,63,1,0,0,5,5,242,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
36,25,2,0,-7,1,0,0,5,5,365,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
37,36,2,0,506,1,0,0,5,5,577,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
38,37,2,0,0,1,0,0,5,5,137,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
39,44,2,0,2586,1,0,0,5,5,160,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
40,50,2,0,49,1,0,0,5,5,180,2,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
41,60,2,0,104,1,0,0,5,5,22,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
42,58,2,0,96,1,0,0,5,5,616,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
43,36,1,0,-171,1,0,0,5,5,242,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
44,58,3,0,-364,1,0,0,5,5,355,1,194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
45,44,2,0,0,1,0,0,5,5,225,2,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
46,55,2,0,0,0,0,0,5,5,160,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
47,29,3,0,0,1,0,0,5,5,363,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
48,54,2,0,1291,1,0,0,5,5,266,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
49,48,3,0,-244,1,0,0,5,5,253,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
50,32,3,0,0,1,0,0,5,5,179,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
51,42,2,0,-76,1,0,0,5,5,787,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
52,24,2,0,-103,1,1,0,5,5,145,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
53,38,3,0,243,0,1,0,5,5,174,1,194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
54,38,3,0,424,1,0,0,5,5,104,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
55,47,2,0,306,1,0,0,5,5,13,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
56,40,2,0,24,1,0,0,5,5,185,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
57,32,3,0,0,1,0,0,5,5,138,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
58,53,2,0,989,1,0,0,5,5,812,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
59,57,1,0,249,1,0,0,5,5,164,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
60,33,2,0,790,1,0,0,5,5,391,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
61,49,2,0,154,1,0,0,5,5,357,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
62,51,3,0,6530,1,0,0,5,5,91,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
63,60,3,0,100,0,0,0,5,5,528,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
64,59,3,0,59,1,0,0,5,5,273,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
65,55,2,0,1205,1,0,0,5,5,158,2,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
66,57,2,0,5935,1,1,0,5,5,258,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
67,31,2,0,25,1,1,0,5,5,172,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
68,54,2,0,282,1,1,0,5,5,154,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
69,55,1,0,23,1,0,0,5,5,291,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
70,43,2,0,1937,1,0,0,5,5,181,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
71,53,2,0,384,1,0,0,5,5,176,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
72,44,2,0,582,0,1,0,5,5,211,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
73,55,2,0,91,0,0,0,5,5,349,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
74,49,2,0,0,1,1,0,5,5,272,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
75,55,2,1,1,1,0,0,5,5,208,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
76,45,2,0,206,1,0,0,5,5,193,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
77,47,2,0,164,0,0,0,5,5,212,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
78,42,2,0,690,1,0,0,5,5,20,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
79,59,2,0,2343,1,0,0,5,5,1042,1,194,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
80,46,3,0,137,1,1,0,5,5,246,1,194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
81,51,1,0,173,1,0,0,5,5,529,2,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
82,46,2,0,16,1,1,0,5,5,188,2,194,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
83,57,2,0,486,1,0,0,5,5,180,2,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
84,42,2,0,50,0,0,0,5,5,48,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
85,30,2,0,152,1,1,0,5,5,213,2,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
86,60,2,0,290,1,0,0,5,5,583,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
87,60,2,0,54,1,0,0,5,5,221,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
88,57,2,0,-37,0,0,0,5,5,173,1,194,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
89,36,3,0,101,1,1,0,5,5,426,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
90,55,2,0,383,0,0,0,5,5,287,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
91,60,3,0,81,1,0,0,5,5,101,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
92,39,2,0,0,1,0,0,5,5,203,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
93,46,3,0,229,1,0,0,5,5,197,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
94,44,2,0,-674,1,0,0,5,5,257,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
95,53,1,0,90,0,0,0,5,5,124,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
96,52,1,0,128,1,0,0,5,5,229,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
97,59,1,0,179,1,0,0,5,5,55,3,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
98,27,3,0,0,1,0,0,5,5,400,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
99,44,2,0,54,1,0,0,5,5,197,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
100,47,3,0,151,1,0,0,5,5,190,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
101,34,2,0,61,0,1,0,5,5,21,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
102,59,2,0,30,1,0,0,5,5,514,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
103,45,3,0,523,1,0,0,5,5,849,2,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
104,29,2,0,31,1,0,0,5,5,194,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
105,46,2,0,79,0,0,0,5,5,144,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
106,56,1,0,-34,1,1,0,5,5,212,2,194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
107,36,1,0,448,1,0,0,5,5,286,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
108,59,1,0,81,1,0,0,5,5,107,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
109,44,2,0,144,1,0,0,5,5,247,2,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
110,41,2,0,351,1,0,0,5,5,518,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
111,33,3,0,-67,1,0,0,5,5,364,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
112,59,3,0,262,0,0,0,5,5,178,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
113,57,1,0,0,0,0,0,5,5,98,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
114,56,2,0,56,1,0,0,5,5,439,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
115,51,2,0,26,1,0,0,5,5,79,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
116,34,2,0,3,1,0,0,5,5,120,3,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
117,43,2,0,41,1,1,0,5,5,127,2,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
118,52,3,0,7,0,1,0,5,5,175,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
119,33,2,0,105,1,0,0,5,5,262,2,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
120,29,2,0,818,1,1,0,5,5,61,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
121,34,2,0,-16,1,1,0,5,5,78,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
122,31,2,0,0,1,0,0,5,5,143,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
123,55,2,0,2476,1,0,0,5,5,579,1,194,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
124,55,2,0,1185,0,0,0,5,5,677,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
125,32,2,0,217,1,0,0,5,5,345,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
126,38,2,0,1685,1,0,0,5,5,185,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
127,55,2,0,802,1,1,0,5,5,100,2,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128,28,3,0,0,1,0,0,5,5,125,2,194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
129,23,2,0,94,1,0,0,5,5,193,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
130,32,2,0,0,1,0,0,5,5,136,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
131,43,2,0,0,0,0,0,5,5,73,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
132,32,2,0,517,1,0,0,5,5,528,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
133,46,2,0,265,1,0,0,5,5,541,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
134,53,1,0,947,1,0,0,5,5,163,1,194,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
135,34,2,0,3,1,0,0,5,5,301,1,194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
136,57,3,0,42,0,0,0,5,5,46,1,194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
137,37,2,0,37,1,0,0,5,5,204,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
138,59,2,0,57,1,0,0,5,5,98,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
139,33,2,0,22,1,0,0,5,5,71,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
140,56,1,0,8,1,0,0,5,5,157,2,194,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
141,48,2,0,293,1,0,0,5,5,243,1,194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
142,43,1,0,3,1,0,0,5,5,186,2,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
143,54,1,0,348,1,0,0,5,5,579,2,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
144,51,2,0,-19,1,0,0,5,5,163,2,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
145,26,2,0,0,1,0,0,5,5,610,2,194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
146,39,2,0,18,1,0,0,5,5,85,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
147,50,1,0,139,0,0,0,5,5,114,2,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
148,41,2,0,0,1,0,0,5,5,114,2,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
149,51,2,0,1883,1,0,0,5,5,57,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
150,60,2,0,216,1,0,0,5,5,238,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
151,52,2,0,782,1,0,0,5,5,93,3,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
152,48,2,0,904,1,0,0,5,5,128,2,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
153,48,2,0,1705,1,0,0,5,5,107,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
154,39,3,0,47,1,0,0,5,5,181,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
155,47,2,0,176,1,0,0,5,5,303,2,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
156,40,2,0,1225,1,0,0,5,5,558,5,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
157,45,2,0,86,1,0,0,5,5,270,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
158,26,2,0,82,1,0,0,5,5,228,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
159,52,3,0,271,1,0,0,5,5,99,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
160,54,2,0,1378,1,0,0,5,5,240,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
161,54,3,0,184,0,0,0,5,5,673,2,194,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
162,50,1,0,0,0,0,0,5,5,233,3,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
163,35,2,0,0,1,0,0,5,5,1056,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
164,44,2,0,1357,1,1,0,5,5,250,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
165,53,2,0,19,1,0,0,5,5,252,1,194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
166,35,1,0,434,0,0,0,5,5,138,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
167,60,2,0,92,1,0,0,5,5,130,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
168,53,2,0,1151,1,0,0,5,5,412,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
169,48,2,0,41,1,0,0,5,5,179,2,194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
170,34,2,0,51,1,0,0,5,5,19,2,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
171,54,2,0,214,1,0,0,5,5,458,2,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
172,51,2,0,1161,1,0,0,5,5,717,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
173,31,3,0,37,1,0,0,5,5,313,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
174,35,2,0,787,1,0,0,5,5,683,2,194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
175,35,2,0,59,1,0,0,5,5,1077,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
176,38,2,0,253,1,0,0,5,5,416,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
177,36,3,0,211,1,0,0,5,5,146,2,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
178,58,1,0,235,1,0,0,5,5,167,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
179,40,2,0,4384,1,0,0,5,5,315,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
180,54,2,0,4080,0,0,0,5,5,140,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
181,34,2,0,53,1,1,0,5,5,346,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
182,31,3,0,0,1,0,0,5,5,562,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
183,51,2,0,2127,1,0,0,5,5,172,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
184,33,3,0,377,1,0,0,5,5,217,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
185,55,3,0,73,1,0,0,5,5,142,2,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
186,42,2,0,445,1,0,0,5,5,67,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
187,34,2,0,243,1,0,0,5,5,291,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
188,33,2,0,307,1,0,0,5,5,309,2,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
189,38,2,0,155,1,0,0,5,5,248,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
190,50,3,0,173,0,1,0,5,5,98,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
191,43,3,0,400,1,0,0,5,5,256,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
192,61,1,0,1428,1,0,0,5,5,82,2,194,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
193,47,2,0,219,1,0,0,5,5,577,1,194,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
194,48,3,0,7,1,0,0,5,5,286,1,194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
195,44,2,0,575,1,0,0,5,5,477,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
196,35,2,0,298,1,0,0,5,5,611,2,194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
197,35,2,0,0,1,0,0,5,5,471,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
198,50,2,0,5699,1,0,0,5,5,381,2,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
199,41,3,0,176,1,1,0,5,5,42,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
200,41,3,0,517,1,0,0,5,5,251,1,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
201,39,2,0,257,1,0,0,5,5,408,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
202,42,2,0,56,1,0,0,5,5,215,1,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
203,38,2,0,-390,1,0,0,5,5,287,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
204,53,2,0,330,1,0,0,5,5,216,2,194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
205,59,1,0,195,0,0,0,5,5,366,2,194,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
206,36,2,0,301,1,0,0,5,5,210,1,194,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
207,54,1,0,-41,1,0,0,5,5,288,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
208,40,3,0,483,1,0,0,5,5,168,1,194,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
209,47,2,0,28,0,0,0,5,5,338,2,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
210,53,2,0,13,0,0,0,5,5,410,3,194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
211,46,1,0,965,0,0,0,5,5,177,1,194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
212,39,3,0,378,1,1,0,5,5,127,2,194,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
213,40,2,0,219,1,0,0,5,5,357,1,194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
214,28,1,0,324,1,0,0,5,5,175,1,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
